epoch,avg_cls_loss,avg_div_loss,avg_open_loss,avg_total_loss,acc_tar,acc_un_tar,acc_k_tar,HOS,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
1,0.0097,0.1863,3.11,0.3362,0.7416,0.0,0.7787,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
2,0.0039,0.1547,3.1117,0.3406,0.7616,0.0,0.7997,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
3,0.0043,0.1259,3.1127,0.3464,0.7666,0.0,0.805,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
4,0.0034,0.101,3.1135,0.3472,0.7709,0.0,0.8095,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
5,0.0026,0.0838,3.1144,0.3471,0.7776,0.0,0.8165,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
6,0.0028,0.0768,3.1151,0.3498,0.7793,0.0,0.8183,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
7,0.0026,0.0705,3.1147,0.3511,0.7881,0.0,0.8275,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
8,0.0018,0.0561,3.1154,0.346,0.7878,0.0,0.8271,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
9,0.0016,0.0516,3.1154,0.346,0.7889,0.0,0.8283,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
10,0.0024,0.0456,3.1165,0.3452,0.7943,0.0,0.834,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
11,0.0019,0.0444,3.1162,0.3457,0.7878,0.0,0.8272,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
12,0.0016,0.04,3.1164,0.3437,0.792,0.0,0.8316,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
13,0.002,0.0384,3.1166,0.3442,0.792,0.0,0.8316,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
14,0.0015,0.0325,3.1165,0.3399,0.804,0.0,0.8442,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
15,0.0014,0.0353,3.1167,0.3431,0.797,0.0,0.8368,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
16,0.0014,0.0297,3.1168,0.339,0.8019,0.0,0.842,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
17,0.0013,0.0247,3.1173,0.335,0.8009,0.0,0.8409,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
18,0.0015,0.0285,3.1168,0.339,0.8037,0.0,0.8439,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
19,0.0013,0.024,3.1174,0.335,0.8047,0.0,0.8449,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
20,0.0014,0.0249,3.1166,0.3363,0.8062,0.0,0.8465,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
21,0.0012,0.0206,3.1171,0.3324,0.8073,0.0,0.8476,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
22,0.0011,0.0195,3.1172,0.3313,0.8058,0.0,0.846,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
23,0.0012,0.02,3.1176,0.3321,0.8062,0.0,0.8466,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
24,0.0013,0.0184,3.1174,0.3307,0.8066,0.0,0.8469,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
25,0.0012,0.0194,3.1173,0.3318,0.8043,0.0,0.8445,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
26,0.0014,0.0201,3.1172,0.3327,0.8078,0.0,0.8482,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
27,0.0013,0.0173,3.117,0.3299,0.8048,0.0,0.845,0.0,0.1,0.0,1.0,ent,0.01,2025-03-15_00-28-36
