epoch,avg_cls_loss,avg_div_loss,avg_open_loss,avg_total_loss,acc_tar,acc_un_tar,acc_k_tar,HOS,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
1,0.0096,0.1797,3.1096,1.5941,0.7397,0.0,0.7767,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
2,0.0045,0.1388,3.1101,1.6042,0.7638,0.0,0.8019,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
3,0.0048,0.1051,3.1103,1.6085,0.7734,0.0,0.812,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
4,0.0251,0.0942,2.9163,1.5382,0.4512,0.9654,0.4255,59.0686,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
5,0.0558,0.1298,1.4874,0.8881,0.0967,0.9931,0.0519,9.8674,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
6,0.0119,0.0401,1.1755,0.6302,0.0835,0.9921,0.038,7.3259,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
7,0.006,0.0254,1.1484,0.6011,0.0794,0.9931,0.0337,6.5144,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
8,0.0042,0.0208,1.1403,0.5925,0.0885,0.9941,0.0432,8.2842,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
9,0.0027,0.0146,1.1352,0.5835,0.0928,0.9921,0.0479,9.1363,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
10,0.0024,0.0118,1.1334,0.5801,0.0773,0.996,0.0313,6.0774,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
11,0.0021,0.0098,1.1316,0.5772,0.0945,0.9881,0.0499,9.4942,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
12,0.0017,0.0079,1.1302,0.5744,0.1099,0.9862,0.0661,12.3919,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
13,0.0016,0.0068,1.1299,0.5731,0.0994,0.9911,0.0548,10.3818,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
14,0.0014,0.0051,1.1292,0.571,0.0959,0.9931,0.051,9.7029,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
15,0.0012,0.0042,1.1284,0.5696,0.1039,0.9941,0.0594,11.2026,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
16,0.0015,0.0033,1.1283,0.5689,0.0878,0.9951,0.0425,8.1453,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
17,0.0012,0.003,1.1282,0.5682,0.1007,0.9921,0.0561,10.6166,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
18,0.0011,0.0023,1.1282,0.5675,0.0908,0.9911,0.0458,8.7607,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
19,0.0011,0.0015,1.1275,0.5663,0.0944,0.9951,0.0494,9.4079,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
20,0.001,0.001,1.1275,0.5658,0.0946,0.9941,0.0497,9.4579,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
21,0.001,0.0004,1.1271,0.5649,0.1086,0.9911,0.0645,12.1165,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
22,0.0009,0.0001,1.1269,0.5644,0.1106,0.9911,0.0665,12.4722,0.5,0.0,1.0,pro1,0.01,2025-03-14_15-13-09
