epoch,avg_cls_loss,avg_div_loss,avg_open_loss,avg_total_loss,acc_tar,acc_un_tar,acc_k_tar,HOS,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
1,0.0795,0.2286,3.1177,1.0338,0.9397,0.0,0.9867,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
2,0.056,0.1928,3.1173,1.023,0.9437,0.0,0.9908,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
3,0.0371,0.1536,3.1181,1.0102,0.9417,0.0,0.9887,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
4,0.0313,0.1283,3.1188,1.0082,0.9456,0.0,0.9929,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
5,0.0188,0.1037,3.1192,0.9954,0.9476,0.0,0.995,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
6,0.0188,0.0939,3.1197,0.9982,0.9504,0.0,0.9979,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
7,0.0169,0.0824,3.1194,0.996,0.9474,0.0,0.9948,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
8,0.0136,0.0729,3.12,0.9921,0.9476,0.0,0.995,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
9,0.0118,0.0604,3.1198,0.9861,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
10,0.0116,0.0579,3.12,0.9871,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
11,0.006,0.0479,3.1203,0.9768,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
12,0.0107,0.0464,3.1204,0.9821,0.9476,0.0,0.995,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
13,0.011,0.0426,3.1205,0.9809,0.9476,0.0,0.995,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
14,0.0048,0.0374,3.1204,0.9717,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
15,0.0067,0.0371,3.1205,0.9743,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
16,0.0064,0.032,3.1205,0.9704,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
17,0.0056,0.0283,3.1207,0.967,0.9476,0.0,0.995,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
18,0.0067,0.0264,3.1209,0.9668,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
19,0.0075,0.0272,3.1203,0.9686,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
20,0.0053,0.0248,3.1207,0.9646,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
21,0.0024,0.02,3.121,0.9576,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
22,0.0043,0.0196,3.1203,0.959,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
23,0.0038,0.0191,3.1204,0.9582,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
24,0.003,0.0177,3.1205,0.9562,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
25,0.0071,0.0168,3.1204,0.9595,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
26,0.0029,0.0159,3.1206,0.9545,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
27,0.0035,0.0138,3.1204,0.9531,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
28,0.0019,0.0115,3.1203,0.9492,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
29,0.004,0.012,3.1204,0.9519,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
30,0.0027,0.0109,3.1202,0.9495,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
31,0.0017,0.0116,3.12,0.9492,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
32,0.0016,0.0085,3.1196,0.9459,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
33,0.0021,0.0089,3.1196,0.9467,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
34,0.0049,0.0083,3.1194,0.9489,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
35,0.0016,0.0075,3.1186,0.9447,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
36,0.0017,0.0051,3.1182,0.9423,0.9524,0.0,1.0,0.0,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
37,0.0022,0.0054,3.1169,0.9427,0.9526,0.0053,1.0,1.0582,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
38,0.0035,0.0049,3.1112,0.9418,0.9577,0.1117,1.0,20.0957,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
39,0.0048,0.0069,3.0718,0.9332,0.9691,0.3511,1.0,51.9685,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
40,0.0093,0.0124,2.9798,0.9156,0.9747,0.4681,1.0,63.7681,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
41,0.009,0.0147,2.9313,0.9031,0.984,0.6649,1.0,79.8722,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
42,0.0077,0.0225,2.8568,0.8872,0.9776,0.6915,0.9919,81.4902,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
43,0.0083,0.0282,2.8219,0.883,0.964,0.7606,0.9742,85.4272,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
44,0.007,0.0294,2.8005,0.8765,0.9604,0.7819,0.9694,86.5604,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
45,0.0053,0.0334,2.7816,0.8731,0.958,0.7979,0.966,87.3932,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
46,0.008,0.0365,2.7469,0.8685,0.9461,0.8085,0.953,87.4831,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
47,0.0074,0.0412,2.7387,0.8702,0.9356,0.8191,0.9414,87.6029,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
48,0.0057,0.0466,2.707,0.8644,0.9234,0.8191,0.9286,87.0442,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
49,0.0056,0.0471,2.6891,0.8594,0.907,0.8245,0.9111,86.5617,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
50,0.0062,0.0513,2.6612,0.8558,0.9055,0.8936,0.9061,89.9836,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
51,0.0077,0.0534,2.6352,0.8516,0.8954,0.8989,0.8952,89.7068,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
52,0.005,0.0548,2.6311,0.8491,0.8789,0.8989,0.8779,88.8302,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
53,0.0048,0.0602,2.5933,0.843,0.8665,0.9043,0.8646,88.3974,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
54,0.0057,0.0618,2.5858,0.8433,0.8667,0.9043,0.8648,88.4083,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
55,0.0054,0.0637,2.5722,0.8408,0.854,0.9043,0.8515,87.7063,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
56,0.0054,0.0695,2.5576,0.8421,0.8231,0.9096,0.8187,86.1776,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
57,0.0065,0.0748,2.5249,0.8388,0.7769,0.9149,0.77,83.6217,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
58,0.0048,0.0869,2.4831,0.8366,0.7596,0.9149,0.7519,82.5412,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
59,0.003,0.0886,2.4743,0.8339,0.7581,0.9202,0.75,82.6433,0.3,0.0,1.0,ent,0.01,2025-03-15_03-43-51
