epoch,avg_cls_loss,avg_div_loss,avg_open_loss,avg_total_loss,acc_tar,acc_un_tar,acc_k_tar,HOS,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
1,0.0707,0.2379,3.1156,1.6483,0.9313,0.0,0.9778,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
2,0.0452,0.2057,3.1156,1.6369,0.9404,0.0,0.9874,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
3,0.0386,0.1677,3.1165,1.6379,0.9479,0.0,0.9953,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
4,0.0272,0.138,3.1172,1.6301,0.9477,0.0,0.9951,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
5,0.0245,0.1178,3.1181,1.6299,0.9493,0.0,0.9967,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
6,0.0202,0.1028,3.1182,1.6268,0.9513,0.0,0.9988,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
7,0.0127,0.0852,3.1188,1.6169,0.9482,0.0,0.9956,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
8,0.0151,0.0749,3.1189,1.6182,0.9497,0.0,0.9972,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
9,0.0121,0.0684,3.1189,1.615,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
10,0.0104,0.0611,3.1185,1.6113,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
11,0.0065,0.0558,3.1187,1.6062,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
12,0.007,0.0481,3.1192,1.6031,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
13,0.01,0.0457,3.1188,1.6057,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
14,0.0101,0.0411,3.1189,1.6033,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
15,0.0067,0.0382,3.1183,1.5982,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
16,0.0089,0.0354,3.1176,1.5984,0.9513,0.0,0.9988,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
17,0.0101,0.0324,3.081,1.5794,0.9731,0.6255,0.9905,76.6757,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
18,0.0404,0.0584,2.7582,1.4724,0.9053,0.9251,0.9043,91.4596,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
19,0.0482,0.1078,2.4588,1.3767,0.7071,0.9888,0.693,81.4894,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
20,0.0482,0.1994,1.9475,1.2076,0.4559,0.9925,0.429,59.9089,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
21,0.0303,0.1926,1.4463,0.9348,0.1621,1.0,0.1202,21.4602,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
22,0.0121,0.0343,1.1601,0.6247,0.2905,0.9925,0.2554,40.6229,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
23,0.0067,0.0281,1.1449,0.6061,0.2939,1.0,0.2586,41.0888,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
