epoch,avg_cls_loss,avg_div_loss,avg_open_loss,avg_total_loss,acc_tar,acc_un_tar,acc_k_tar,HOS,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
1,0.069,0.2388,3.1157,1.6467,0.924,0.0,0.9702,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
2,0.0544,0.2104,3.1155,1.6469,0.9438,0.0,0.9909,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
3,0.0288,0.1642,3.1167,1.6273,0.9467,0.0,0.994,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
4,0.0274,0.1327,3.1171,1.6287,0.9481,0.0,0.9955,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
5,0.0275,0.1148,3.1179,1.6317,0.9497,0.0,0.9972,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
6,0.0139,0.0961,3.1175,1.617,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
7,0.0138,0.0854,3.1182,1.6178,0.9508,0.0,0.9983,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
8,0.0127,0.0733,3.1181,1.6145,0.9508,0.0,0.9983,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
9,0.0142,0.0637,3.1183,1.6138,0.9508,0.0,0.9983,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
10,0.0123,0.06,3.1181,1.6123,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
11,0.0111,0.055,3.1185,1.6102,0.9508,0.0,0.9983,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
12,0.0118,0.0503,3.1177,1.609,0.9524,0.0,1.0,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
13,0.0057,0.0456,3.1164,1.6002,0.9513,0.0,0.9988,0.0,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
14,0.0058,0.0381,3.1151,1.5947,0.9527,0.0075,1.0,1.487,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
15,0.023,0.0389,3.0006,1.5563,0.9499,0.8876,0.953,91.9149,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
16,0.0402,0.0775,2.6792,1.4472,0.8609,0.9888,0.8545,91.6743,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
17,0.0622,0.1369,2.3171,1.3424,0.5727,0.9888,0.5518,70.8352,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
18,0.0462,0.2266,1.7252,1.1139,0.2647,0.9963,0.2281,37.1218,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
19,0.0198,0.1348,1.2661,0.7767,0.2011,0.9963,0.1613,27.7649,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
20,0.0123,0.0378,1.1557,0.6253,0.1731,0.9925,0.1321,23.3232,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
21,0.0059,0.0299,1.1405,0.6043,0.1993,0.9925,0.1596,27.4969,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
22,0.0093,0.0266,1.1368,0.603,0.2101,0.9888,0.1712,29.1823,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
23,0.008,0.0251,1.1365,0.6004,0.251,1.0,0.2135,35.1917,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
24,0.0068,0.0241,1.1352,0.5976,0.196,0.9963,0.156,26.971,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
25,0.0053,0.0216,1.1326,0.5925,0.1952,0.9888,0.1555,26.8731,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
26,0.0051,0.0194,1.1315,0.5898,0.1664,0.9963,0.1249,22.2043,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
27,0.0039,0.0175,1.1302,0.5861,0.2169,0.9963,0.178,30.1994,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
28,0.0039,0.0176,1.1305,0.5863,0.2245,1.0,0.1857,31.327,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
29,0.0073,0.0164,1.1299,0.5884,0.1777,1.0,0.1366,24.0349,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
30,0.0026,0.0149,1.1293,0.582,0.1983,1.0,0.1583,27.3267,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
31,0.0018,0.0122,1.1287,0.5782,0.1987,1.0,0.1587,27.3904,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
32,0.0023,0.0131,1.1293,0.58,0.2148,0.9963,0.1758,29.8827,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
33,0.0032,0.0118,1.1283,0.5791,0.2133,1.0,0.174,29.6413,0.5,0.0,1.0,pro1,0.01,2025-03-15_08-01-42
