epoch,HOS,acc_tar,acc_un_tar,acc_k_tar,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
1,0.0,0.9417,0.0,0.9888,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
2,0.0,0.9437,0.0,0.9908,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
3,0.0,0.9427,0.0,0.9898,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
4,0.0,0.9437,0.0,0.9908,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
5,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
6,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
7,0.0,0.9476,0.0,0.995,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
8,0.0,0.9476,0.0,0.995,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
9,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
10,0.0,0.9476,0.0,0.995,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
11,0.0,0.9476,0.0,0.995,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
12,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
13,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
14,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
15,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
16,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
17,0.0,0.9524,0.0,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
18,22.6415,0.9585,0.1277,1.0,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
19,81.2219,0.9803,0.6862,0.995,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
20,96.6468,0.9557,0.9787,0.9545,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
21,90.0663,0.8343,0.9894,0.8266,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
22,87.3509,0.7861,1.0,0.7754,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
23,78.0149,0.6567,1.0,0.6395,0.5,0.1,1.0,,0.01,2025-01-12_05-48-57
