epoch,HOS,acc_tar,acc_un_tar,acc_k_tar,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
28,0.0,0.9524,0.0,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
29,0.0,0.9524,0.0,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
30,0.0,0.9524,0.0,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
31,0.0,0.9524,0.0,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
32,0.0,0.9524,0.0,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
33,1.0582,0.9526,0.0053,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
34,0.0,0.9524,0.0,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
35,2.1053,0.9529,0.0106,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
36,15.6863,0.9564,0.0851,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
37,54.2636,0.9701,0.3723,1.0,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
38,86.0604,0.9637,0.7713,0.9733,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
39,91.62,0.9789,0.8564,0.985,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
40,90.9849,0.9846,0.8404,0.9918,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
41,91.6934,0.9093,0.9255,0.9085,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
42,91.246,0.9151,0.9096,0.9154,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
43,94.9522,0.9834,0.9149,0.9869,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
44,88.7678,0.8169,0.984,0.8085,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
45,95.2761,0.9221,0.9894,0.9188,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
46,85.0016,0.7765,0.9521,0.7677,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27
47,94.8538,0.9272,0.9734,0.9249,0.5,0.0,1.0,pro1,0.01,2025-03-05_17-17-27

